Sample,Sputum,Concentration_mg/mL
12292,pre-extract,1.739940881
12293,pre-extract,2.256519622
12294,pre-extract,2.576311272
12295,pre-extract,1.362295489
12296,pre-extract,1.199294703
12292,post-extract,0.396759941
12293,post-extract,0.555443234
12294,post-extract,0.698652804
12295,post-extract,0.49148254
12296,post-extract,0.337043302
