Compound,#,Sample Text,Type,Std. Conc,RT,Area,IS Area,S/N,Response,Conc.,%Rec,Detection Flags,ExperimentDate,Analysis Date
Aztreonam,18,ASM_solventA_123,Analyte,,2.36,1.036,18535.74,1.973,0,0.029,,bb,40219,41519
Aztreonam,19,ASM_solventA_370,Analyte,,4.2,56.417,16121.138,6.61,0.003,0.2061,,MM,40219,41519
Aztreonam,20,ASM_solventA_1100,Analyte,,4.14,235.132,15419.762,56.791,0.015,0.7795,,MM,40219,41519
Aztreonam,21,ASM_solventA_3300,Analyte,,4.2,464.196,15314.623,22.099,0.03,1.4572,,MM,40219,41519
Aztreonam,22,ASM_solventA_10000,Analyte,,4.24,2400.812,13713.03,34.05,0.175,6.2999,,MM,40219,41519
Aztreonam,23,WaterBlank7,Blank,,3.16,729.372,,163.885,,,,bb,40219,41519
Aztreonam,24,AcnBlank8,Blank,,2.65,4.826,3.091,2.771,1.561,27.3506,,bb,40219,41519
Aztreonam,25,WaterBlank9,Blank,,3.28,12.315,13.213,4.027,0.932,19.9281,,bb,40219,41519
Aztreonam,26,ASM_solventB_0,Analyte,,2.73,0.797,40137.727,1.388,0,0.0271,,bb,40219,41519
Aztreonam,27,ASM_solventB_14,Analyte,,3.3,6.616,39940.762,11.438,0,0.0347,,bb,40219,41519
Aztreonam,28,ASM_solventB_41,Analyte,,3.69,13.085,36981.773,18.566,0,0.0445,,bb,40219,41519
Aztreonam,29,ASM_solventB_123,Analyte,,4.24,36.212,40492.133,13.862,0.001,0.0725,,MM,40219,41519
Aztreonam,30,ASM_solventB_370,Analyte,,4.26,309.766,35802.828,17.856,0.009,0.4631,,MM,40219,41519
Aztreonam,31,ASM_solventB_1100,Analyte,,3.1,17.654,39557.574,4.005,0,0.0493,,bb,40219,41519
Aztreonam,32,ASM_solventB_3300,Analyte,,4.26,1747.138,36534.984,51.956,0.048,2.1815,,MM,40219,41519
Aztreonam,33,ASM_solventB_10000,Analyte,,4.24,5715.44,34280.777,72.145,0.167,6.0699,,MM,40219,41519
Aztreonam,34,WaterBlank7,Blank,,3.12,1047.45,9.203,941.923,113.816,279.481,,bb,40219,41519
Aztreonam,35,AcnBlank8,Blank,,2.57,1.836,1.249,1.279,1.47,26.3763,,bb,40219,41519
Aztreonam,36,WaterBlank9,Blank,,3.85,8.65,,23.146,,,,bb,40219,41519
Aztreonam,37,ASM_solventC_0,Analyte,,3.28,1.278,16895.596,2.317,0,0.03,,bb,40219,41519
Aztreonam,38,ASM_solventC_14,Analyte,,3.77,4.67,16858.381,13.67,0,0.0405,,bb,40219,41519
Aztreonam,39,ASM_solventC_41,Analyte,,2.69,2.678,17901.645,3.402,0,0.0339,,bb,40219,41519
Aztreonam,40,ASM_solventC_123,Analyte,,3.91,12.676,18130.9,3.283,0.001,0.0624,,bb,40219,41519
Aztreonam,41,ASM_solventC_370,Analyte,,4.24,222.378,17469.236,11.293,0.013,0.6602,,MM,40219,41519
Aztreonam,42,ASM_solventC_1100,Analyte,,4.06,610.836,18171.176,43.703,0.034,1.5986,,MM,40219,41519
Aztreonam,43,ASM_solventC_3300,Analyte,,4.22,1755.573,16142.892,60.153,0.109,4.3436,,MM,40219,41519
Aztreonam,44,ASM_solventC_10000,Analyte,,4.2,5348.26,15318.807,112.262,0.349,10.4119,,MM,40219,41519
Aztreonam,45,WaterBlank7,Blank,,3.04,308.022,13.427,21.007,22.94,121.8281,,bb,40219,41519
Aztreonam,46,AcnBlank8,Blank,,,,1.517,,,,,,40219,41519
Aztreonam,47,WaterBlank9,Blank,,3.24,2.026,,2.55,,,,bb,40219,41519
Aztreonam,48,Minus80aliquot,Blank,,4.22,20479.842,3.777,227.799,5422.251,1969.1041,,MM,40219,41519
Aztreonam,49,WaterBlank7,Blank,,3.08,3816.204,0.506,41.281,7541.905,2323.5366,,bb,40219,41519
Aztreonam,50,AcnBlank8,Blank,,2.71,2.715,0.131,1.872,20.725,115.4745,,bb,40219,41519
Aztreonam,51,WaterBlank9,Blank,,2.38,2.458,2.071,3.07,1.187,23.1557,,bb,40219,41519
Aztreonam,52,Postspike_14,Analyte,,3.81,13.45,10879.06,6.875,0.001,0.0902,,bb,40219,41519
Aztreonam,53,Postspike_41,Analyte,,2.77,1.712,12035.646,2.139,0,0.0335,,bb,40219,41519
Aztreonam,54,Postspike_123,Analyte,,3.24,0.86,12775.054,2.079,0,0.0296,,bb,40219,41519
Aztreonam,55,Postspike_370,Analyte,,3.71,4.265,12510.815,2.615,0,0.0438,,bb,40219,41519
Aztreonam,56,Postspike_1100,Analyte,,4.26,295.84,10953.366,30.598,0.027,1.3134,,MM,40219,41519
Aztreonam,57,WaterBlank7,Blank,,3.12,20.847,13.828,13.518,1.508,26.781,,bb,40219,41519
Aztreonam,58,AcnBlank8,Blank,,2.32,7.07,13.437,1.966,0.526,13.7708,,bb,40219,41519
Aztreonam,59,WaterBlank9,Blank,,3.4,3.192,,3.538,,,,bb,40219,41519
Aztreonam,60,DTTblank,Analyte,,2.87,1.943,0.045,2.34,43.178,169.5794,,bb,40219,41519
Aztreonam,61,Blankspike_14,Analyte,,3.91,4.371,49667.84,12.202,0,0.0307,,bb,40219,41519
Aztreonam,62,Blankspike_41,Analyte,,2.1,1.223,49183.457,1.564,0,0.0274,,bb,40219,41519
Aztreonam,63,Blankspike_123,Analyte,,3.67,11.691,48380.871,3.39,0,0.0387,,bb,40219,41519
Aztreonam,64,Blankspike_370,Analyte,,3.97,248.547,50603.992,26.113,0.005,0.2774,,bb,40219,41519
Aztreonam,65,Blankspike_1100,Analyte,,4.26,1802.236,51110.586,280.139,0.035,1.6682,,MM,40219,41519
Aztreonam,66,WaterBlank7,Blank,,3.24,277.382,154.087,269.368,1.8,29.7767,,bb,40219,41519
Aztreonam,67,AcnBlank8,Blank,,3.08,3.337,,2.196,,,,bb,40219,41519
Aztreonam,68,WaterBlank9,Blank,,3.43,3.143,29.289,1.917,0.107,4.2972,,bb,40219,41519
Cefepime,1,WaterBlank1,Blank,,1.04,0.404,0.212,1.143,1.906,289.5828,,bb,40219,41519
Cefepime,2,AcnBlank2,Blank,,0.77,1.27,,2.348,,,,bb,40219,41519
Cefepime,3,WaterBlank3,Blank,,0.81,0.669,,1.829,,,,bb,40219,41519
Cefepime,4,Water_ABS_0,Standard,0,,,83044.359,,,,,,40219,41519
Cefepime,5,Water_ABS_140,Standard,0.014,1.06,0.97,87081.844,1.532,0,0.0238,170.3,bb,40219,41519
Cefepime,6,Water_ABS_410,Standard,0.041,1,0.756,94054.539,1.322,0,0,0,bbI,40219,41519
Cefepime,7,Water_ABS_123,Standard,0.123,0.89,0.838,98276.273,1.247,0,0,0,bbI,40219,41519
Cefepime,8,Water_ABS_370,Standard,0.37,0.83,6.083,91741.82,9.048,0,1.1404,308.2,bb,40219,41519
Cefepime,9,Water_ABS_1000,Standard,1.1,0.87,7.161,95584.672,15.128,0,1.2519,113.8,bb,40219,41519
Cefepime,10,Water_ABS_3000,Standard,3.3,0.85,22.837,85522.977,8.301,0,2.8947,87.7,bb,40219,41519
Cefepime,11,Water_ABS_10000,Standard,10,0.85,167.695,66425.875,303.749,0.003,10.0399,100.4,bb,40219,41519
Cefepime,12,WaterBlank4,Blank,,,,167.384,,,,,,40219,41519
Cefepime,13,AcnBlank5,Blank,,0.85,0.208,7.27,1.238,0.029,35.0332,,bb,40219,41519
Cefepime,14,WaterBlank6,Blank,,,,43.16,,,,,,40219,41519
Cefepime,15,ASM_solventA_0,Analyte,,,,21832.402,,,,,,40219,41519
Cefepime,16,ASM_solventA_14,Analyte,,0.89,0.815,18963.355,1.627,0,0.7911,,bb,40219,41519
Cefepime,17,ASM_solventA_41,Analyte,,,,17224.139,,,,,,40219,41519
Cefepime,18,ASM_solventA_123,Analyte,,0.87,2.939,18535.74,3.353,0,2.0977,,bb,40219,41519
Cefepime,19,ASM_solventA_370,Analyte,,0.8,0.475,16121.138,0.738,0,0.5366,,bb,40219,41519
Cefepime,20,ASM_solventA_1100,Analyte,,,,15419.762,,,,,,40219,41519
Cefepime,21,ASM_solventA_3300,Analyte,,0.84,1.097,15314.623,2.197,0,1.2102,,bb,40219,41519
Cefepime,22,ASM_solventA_10000,Analyte,,0.83,9.745,13713.03,13.854,0.001,5.0745,,bb,40219,41519
Cefepime,23,WaterBlank7,Blank,,0.96,0.807,,1.312,,,,bb,40219,41519
Cefepime,24,AcnBlank8,Blank,,,,3.091,,,,,,40219,41519
Cefepime,25,WaterBlank9,Blank,,,,13.213,,,,,,40219,41519
Cefepime,26,ASM_solventB_0,Analyte,,,,40137.727,,,,,,40219,41519
Cefepime,27,ASM_solventB_14,Analyte,,0.94,1.472,39940.762,3.821,0,0.6825,,bb,40219,41519
Cefepime,28,ASM_solventB_41,Analyte,,1.04,0.391,36981.773,1.052,0,0,,bbI,40219,41519
Cefepime,29,ASM_solventB_123,Analyte,,1.06,0.938,40492.133,2.176,0,0.3938,,bb,40219,41519
Cefepime,30,ASM_solventB_370,Analyte,,0.75,0.102,35802.828,0.655,0,0,,bbI,40219,41519
Cefepime,31,ASM_solventB_1100,Analyte,,0.83,0.611,39557.574,1.719,0,0.1796,,bb,40219,41519
Cefepime,32,ASM_solventB_3300,Analyte,,,,36534.984,,,,,,40219,41519
Cefepime,33,ASM_solventB_10000,Analyte,,0.72,27.431,34280.777,19.07,0.001,5.4181,,bb,40219,41519
Cefepime,34,WaterBlank7,Blank,,0.69,0.057,9.203,0.364,0.006,16.023,,bb,40219,41519
Cefepime,35,AcnBlank8,Blank,,0.83,2.444,1.249,3.082,1.957,293.4468,,bb,40219,41519
Cefepime,36,WaterBlank9,Blank,,1.02,0.204,,0.939,,,,bb,40219,41519
Cefepime,37,ASM_solventC_0,Analyte,,0.94,0.328,16895.596,1.289,0,0.2969,,bb,40219,41519
Cefepime,38,ASM_solventC_14,Analyte,,0.98,1.486,16858.381,2.741,0,1.4107,,bb,40219,41519
Cefepime,39,ASM_solventC_41,Analyte,,0.87,0.719,17901.645,2.415,0,0.7424,,bb,40219,41519
Cefepime,40,ASM_solventC_123,Analyte,,1.06,0.901,18130.9,1.727,0,0.9006,,bb,40219,41519
Cefepime,41,ASM_solventC_370,Analyte,,,,17469.236,,,,,,40219,41519
Cefepime,42,ASM_solventC_1100,Analyte,,0.75,0.049,18171.176,0.329,0,0,,bbI,40219,41519
Cefepime,43,ASM_solventC_3300,Analyte,,,,16142.892,,,,,,40219,41519
Cefepime,44,ASM_solventC_10000,Analyte,,,,15318.807,,,,,,40219,41519
Cefepime,45,WaterBlank7,Blank,,0.94,0.473,13.427,1.516,0.035,38.9301,,bb,40219,41519
Cefepime,46,AcnBlank8,Blank,,,,1.517,,,,,,40219,41519
Cefepime,47,WaterBlank9,Blank,,0.77,0.526,,1.167,,,,bb,40219,41519
Cefepime,48,Minus80aliquot,Blank,,0.85,132.692,3.777,11.58,35.132,1245.043,,bb,40219,41519
Cefepime,49,WaterBlank7,Blank,,0.85,0.428,0.506,1.13,0.846,192.7585,,bb,40219,41519
Cefepime,50,AcnBlank8,Blank,,,,0.131,,,,,,40219,41519
Cefepime,51,WaterBlank9,Blank,,0.94,0.302,2.071,0.729,0.146,79.7364,,bb,40219,41519
Cefepime,52,Postspike_14,Analyte,,,,10879.06,,,,,,40219,41519
Cefepime,53,Postspike_41,Analyte,,,,12035.646,,,,,,40219,41519
Cefepime,54,Postspike_123,Analyte,,,,12775.054,,,,,,40219,41519
Cefepime,55,Postspike_370,Analyte,,0.98,1.038,12510.815,2.038,0,1.3501,,bb,40219,41519
Cefepime,56,Postspike_1100,Analyte,,1.02,0.925,10953.366,4.035,0,1.3676,,bb,40219,41519
Cefepime,57,WaterBlank7,Blank,,,,13.828,,,,,,40219,41519
Cefepime,58,AcnBlank8,Blank,,0.89,0.143,13.437,1.069,0.011,21.1649,,bb,40219,41519
Cefepime,59,WaterBlank9,Blank,,0.83,0.367,,1.22,,,,bb,40219,41519
Cefepime,60,DTTblank,Analyte,,,,0.045,,,,,,40219,41519
Cefepime,61,Blankspike_14,Analyte,,,,49667.84,,,,,,40219,41519
Cefepime,62,Blankspike_41,Analyte,,,,49183.457,,,,,,40219,41519
Cefepime,63,Blankspike_123,Analyte,,0.94,0.139,48380.871,0.942,0,0,,bbI,40219,41519
Cefepime,64,Blankspike_370,Analyte,,0.69,0.047,50603.992,0.677,0,0,,bbI,40219,41519
Cefepime,65,Blankspike_1100,Analyte,,0.9,5.042,51110.586,12.266,0,1.5279,,bb,40219,41519
Cefepime,66,WaterBlank7,Blank,,1.06,1.194,154.087,1.876,0.008,17.9839,,bb,40219,41519
Cefepime,67,AcnBlank8,Blank,,1,1.007,,2.735,,,,bb,40219,41519
Cefepime,68,WaterBlank9,Blank,,,,29.289,,,,,,40219,41519
Ceftazidime,1,WaterBlank1,Blank,,2.14,0.385,0.212,1.052,1.816,121.0145,,bb,40219,41519
Ceftazidime,2,AcnBlank2,Blank,,2.34,1.123,,1.575,,,,bb,40219,41519
Ceftazidime,3,WaterBlank3,Blank,,,,,,,,,,40219,41519
Ceftazidime,4,Water_ABS_0,Standard,0,2.32,0.636,83044.359,2.598,0,0,,bbI,40219,41519
Ceftazidime,5,Water_ABS_140,Standard,0.014,2.28,1.516,87081.844,2.15,0,0.0193,137.8,bb,40219,41519
Ceftazidime,6,Water_ABS_410,Standard,0.041,,,94054.539,,,,,,40219,41519
Ceftazidime,7,Water_ABS_123,Standard,0.123,,,98276.273,,,,,,40219,41519
Ceftazidime,8,Water_ABS_370,Standard,0.37,2.18,21.867,91741.82,53.777,0,0.4717,127.5,bb,40219,41519
Ceftazidime,9,Water_ABS_1000,Standard,1.1,2.16,26.937,95584.672,52.368,0,0.5504,50,bb,40219,41519
Ceftazidime,10,Water_ABS_3000,Standard,3.3,2.16,266.38,85522.977,46.055,0.003,3.5995,109.1,bb,40219,41519
Ceftazidime,11,Water_ABS_10000,Standard,10,2.18,1079.988,66425.875,553.105,0.016,9.9687,99.7,bb,40219,41519
Ceftazidime,12,WaterBlank4,Blank,,2.36,1.521,167.384,1.573,0.009,7.0804,,bb,40219,41519
Ceftazidime,13,AcnBlank5,Blank,,2.2,0.872,7.27,2.136,0.12,29.8226,,bb,40219,41519
Ceftazidime,14,WaterBlank6,Blank,,2.43,0.868,43.16,2.816,0.02,11.2589,,bb,40219,41519
Ceftazidime,15,ASM_solventA_0,Analyte,,2.42,0.102,21832.402,0.468,0,0,,bbI,40219,41519
Ceftazidime,16,ASM_solventA_14,Analyte,,2.34,0.832,18963.355,1.691,0,0.0793,,bb,40219,41519
Ceftazidime,17,ASM_solventA_41,Analyte,,2.14,1.484,17224.139,2.311,0,0.1713,,bb,40219,41519
Ceftazidime,18,ASM_solventA_123,Analyte,,,,18535.74,,,,,,40219,41519
Ceftazidime,19,ASM_solventA_370,Analyte,,2.1,9.041,16121.138,21.781,0.001,1.0031,,bb,40219,41519
Ceftazidime,20,ASM_solventA_1100,Analyte,,,,15419.762,,,,,,40219,41519
Ceftazidime,21,ASM_solventA_3300,Analyte,,2.1,12.124,15314.623,18.256,0.001,1.3282,,bb,40219,41519
Ceftazidime,22,ASM_solventA_10000,Analyte,,2.14,41.688,13713.03,67.076,0.003,3.5416,,bb,40219,41519
Ceftazidime,23,WaterBlank7,Blank,,2.14,0.187,,1.372,,,,bb,40219,41519
Ceftazidime,24,AcnBlank8,Blank,,,,3.091,,,,,,40219,41519
Ceftazidime,25,WaterBlank9,Blank,,2.34,0.905,13.213,1.856,0.068,22.1286,,bb,40219,41519
Ceftazidime,26,ASM_solventB_0,Analyte,,2.4,0.534,40137.727,1.674,0,0.0098,,bb,40219,41519
Ceftazidime,27,ASM_solventB_14,Analyte,,,,39940.762,,,,,,40219,41519
Ceftazidime,28,ASM_solventB_41,Analyte,,2.22,0.764,36981.773,1.242,0,0.0268,,bb,40219,41519
Ceftazidime,29,ASM_solventB_123,Analyte,,,,40492.133,,,,,,40219,41519
Ceftazidime,30,ASM_solventB_370,Analyte,,2.12,15.769,35802.828,42.213,0,0.8175,,bb,40219,41519
Ceftazidime,31,ASM_solventB_1100,Analyte,,,,39557.574,,,,,,40219,41519
Ceftazidime,32,ASM_solventB_3300,Analyte,,,,36534.984,,,,,,40219,41519
Ceftazidime,33,ASM_solventB_10000,Analyte,,,,34280.777,,,,,,40219,41519
Ceftazidime,34,WaterBlank7,Blank,,,,9.203,,,,,,40219,41519
Ceftazidime,35,AcnBlank8,Blank,,2.14,0.028,1.249,0.267,0.022,11.9735,,bb,40219,41519
Ceftazidime,36,WaterBlank9,Blank,,2.44,0.986,,1.707,,,,bb,40219,41519
Ceftazidime,37,ASM_solventC_0,Analyte,,2.39,0.396,16895.596,1.104,0,0.0331,,bb,40219,41519
Ceftazidime,38,ASM_solventC_14,Analyte,,2.18,0.781,16858.381,2.174,0,0.0848,,bb,40219,41519
Ceftazidime,39,ASM_solventC_41,Analyte,,,,17901.645,,,,,,40219,41519
Ceftazidime,40,ASM_solventC_123,Analyte,,2.45,0.106,18130.9,0.567,0,0,,bbI,40219,41519
Ceftazidime,41,ASM_solventC_370,Analyte,,2.34,0.363,17469.236,1.465,0,0.0271,,bb,40219,41519
Ceftazidime,42,ASM_solventC_1100,Analyte,,2.14,1.749,18171.176,2.539,0,0.1927,,bb,40219,41519
Ceftazidime,43,ASM_solventC_3300,Analyte,,,,16142.892,,,,,,40219,41519
Ceftazidime,44,ASM_solventC_10000,Analyte,,,,15318.807,,,,,,40219,41519
Ceftazidime,45,WaterBlank7,Blank,,,,13.427,,,,,,40219,41519
Ceftazidime,46,AcnBlank8,Blank,,2.27,1.494,1.517,1.876,0.985,88.6546,,bb,40219,41519
Ceftazidime,47,WaterBlank9,Blank,,,,,,,,,,40219,41519
Ceftazidime,48,Minus80aliquot,Blank,,2.14,828.985,3.777,1955.7,219.482,1348.0425,,bb,40219,41519
Ceftazidime,49,WaterBlank7,Blank,,2.38,0.118,0.506,0.67,0.233,42.2527,,bb,40219,41519
Ceftazidime,50,AcnBlank8,Blank,,,,0.131,,,,,,40219,41519
Ceftazidime,51,WaterBlank9,Blank,,2.26,2.511,2.071,1.556,1.212,98.5592,,bb,40219,41519
Ceftazidime,52,Postspike_14,Analyte,,2.37,2.546,10879.06,6.249,0,0.4637,,bb,40219,41519
Ceftazidime,53,Postspike_41,Analyte,,,,12035.646,,,,,,40219,41519
Ceftazidime,54,Postspike_123,Analyte,,2.16,0.93,12775.054,3.434,0,0.1427,,bb,40219,41519
Ceftazidime,55,Postspike_370,Analyte,,2.41,2.075,12510.815,5.22,0,0.334,,bb,40219,41519
Ceftazidime,56,Postspike_1100,Analyte,,2.28,29.476,10953.366,32.374,0.003,3.2621,,MM,40219,41519
Ceftazidime,57,WaterBlank7,Blank,,,,13.828,,,,,,40219,41519
Ceftazidime,58,AcnBlank8,Blank,,2.16,0.856,13.437,2.047,0.064,21.2823,,bb,40219,41519
Ceftazidime,59,WaterBlank9,Blank,,,,,,,,,,40219,41519
Ceftazidime,60,DTTblank,Analyte,,2.26,0.485,0.045,1.538,10.778,297.341,,bb,40219,41519
Ceftazidime,61,Blankspike_14,Analyte,,2.22,1.435,49667.84,3.675,0,0.0456,,bb,40219,41519
Ceftazidime,62,Blankspike_41,Analyte,,,,49183.457,,,,,,40219,41519
Ceftazidime,63,Blankspike_123,Analyte,,2.32,0.169,48380.871,2.291,0,0,,bbI,40219,41519
Ceftazidime,64,Blankspike_370,Analyte,,2.22,2.92,50603.992,6.453,0,0.1099,,bb,40219,41519
Ceftazidime,65,Blankspike_1100,Analyte,,2.28,31.147,51110.586,7.459,0.001,1.0746,,MM,40219,41519
Ceftazidime,66,WaterBlank7,Blank,,,,154.087,,,,,,40219,41519
Ceftazidime,67,AcnBlank8,Blank,,2.44,1.011,,3.169,,,,bb,40219,41519
Ceftazidime,68,WaterBlank9,Blank,,,,29.289,,,,,,40219,41519
Ceftriaxone,1,WaterBlank1,Blank,,,,0.212,,,,,,40219,41519
Ceftriaxone,2,AcnBlank2,Blank,,,,,,,,,,40219,41519
Ceftriaxone,3,WaterBlank3,Blank,,,,,,,,,,40219,41519
Ceftriaxone,4,Water_ABS_0,Standard,0,3.46,0.074,83044.359,0.281,0,0,,bbI,40219,41519
Ceftriaxone,5,Water_ABS_140,Standard,0.014,,,87081.844,,,,,,40219,41519
Ceftriaxone,6,Water_ABS_410,Standard,0.041,3.48,1.288,94054.539,1.454,0,0.1136,277.1,bb,40219,41519
Ceftriaxone,7,Water_ABS_123,Standard,0.123,,,98276.273,,,,,,40219,41519
Ceftriaxone,8,Water_ABS_370,Standard,0.37,3.54,0.318,91741.82,0.828,0,0,0,bbI,40219,41519
Ceftriaxone,9,Water_ABS_1000,Standard,1.1,,,95584.672,,,,,,40219,41519
Ceftriaxone,10,Water_ABS_3000,Standard,3.3,4.22,30.695,85522.977,65.371,0,3.6468,110.5,MM,40219,41519
Ceftriaxone,11,Water_ABS_10000,Standard,10,4.01,77.948,66425.875,10.04,0.001,9.9256,99.3,MM,40219,41519
Ceftriaxone,12,WaterBlank4,Blank,,,,167.384,,,,,,40219,41519
Ceftriaxone,13,AcnBlank5,Blank,,3.63,17.362,7.27,13.324,2.388,842.4324,,bb,40219,41519
Ceftriaxone,14,WaterBlank6,Blank,,,,43.16,,,,,,40219,41519
Ceftriaxone,15,ASM_solventA_0,Analyte,,3.36,0.793,21832.402,2.535,0,0.3736,,bb,40219,41519
Ceftriaxone,16,ASM_solventA_14,Analyte,,,,18963.355,,,,,,40219,41519
Ceftriaxone,17,ASM_solventA_41,Analyte,,3.55,5.48,17224.139,20.142,0,3.2695,,bb,40219,41519
Ceftriaxone,18,ASM_solventA_123,Analyte,,3.42,0.269,18535.74,1.42,0,0.1231,,bb,40219,41519
Ceftriaxone,19,ASM_solventA_370,Analyte,,,,16121.138,,,,,,40219,41519
Ceftriaxone,20,ASM_solventA_1100,Analyte,,3.4,0.343,15419.762,1.274,0,0.2125,,bb,40219,41519
Ceftriaxone,21,ASM_solventA_3300,Analyte,,3.49,1.757,15314.623,2.981,0,1.2381,,bb,40219,41519
Ceftriaxone,22,ASM_solventA_10000,Analyte,,4.24,13.831,13713.03,9.43,0.001,8.8007,,MM,40219,41519
Ceftriaxone,23,WaterBlank7,Blank,,,,,,,,,,40219,41519
Ceftriaxone,24,AcnBlank8,Blank,,3.51,0.64,3.091,1.847,0.207,239.1255,,bb,40219,41519
Ceftriaxone,25,WaterBlank9,Blank,,,,13.213,,,,,,40219,41519
Ceftriaxone,26,ASM_solventB_0,Analyte,,3.67,0.563,40137.727,1.377,0,0.1175,,bb,40219,41519
Ceftriaxone,27,ASM_solventB_14,Analyte,,3.63,0.277,39940.762,0.825,0,0.0349,,bb,40219,41519
Ceftriaxone,28,ASM_solventB_41,Analyte,,3.69,0.265,36981.773,2.731,0,0.0376,,bb,40219,41519
Ceftriaxone,29,ASM_solventB_123,Analyte,,,,40492.133,,,,,,40219,41519
Ceftriaxone,30,ASM_solventB_370,Analyte,,4.26,7.777,35802.828,24.441,0,2.2951,,MM,40219,41519
Ceftriaxone,31,ASM_solventB_1100,Analyte,,4.26,44.283,39557.574,36.983,0.001,9.5633,,MM,40219,41519
Ceftriaxone,32,ASM_solventB_3300,Analyte,,4.26,105.193,36534.984,364.806,0.003,19.3508,,MM,40219,41519
Ceftriaxone,33,ASM_solventB_10000,Analyte,,4.26,637.682,34280.777,593.822,0.019,63.5257,,MM,40219,41519
Ceftriaxone,34,WaterBlank7,Blank,,3.38,1.116,9.203,4.915,0.121,180.1112,,bb,40219,41519
Ceftriaxone,35,AcnBlank8,Blank,,3.42,0.359,1.249,0.88,0.287,283.9634,,bb,40219,41519
Ceftriaxone,36,WaterBlank9,Blank,,3.63,2.058,,1.445,,,,bb,40219,41519
Ceftriaxone,37,ASM_solventC_0,Analyte,,3.34,0.098,16895.596,0.573,0,0.0217,,bb,40219,41519
Ceftriaxone,38,ASM_solventC_14,Analyte,,3.53,1.559,16858.381,2.706,0,0.9982,,bb,40219,41519
Ceftriaxone,39,ASM_solventC_41,Analyte,,3.4,0.055,17901.645,0.418,0,0,,bbI,40219,41519
Ceftriaxone,40,ASM_solventC_123,Analyte,,3.34,0.663,18130.9,3.156,0,0.3764,,bb,40219,41519
Ceftriaxone,41,ASM_solventC_370,Analyte,,4.26,26.05,17469.236,82.175,0.001,11.9515,,MM,40219,41519
Ceftriaxone,42,ASM_solventC_1100,Analyte,,4.26,21.514,18171.176,36.834,0.001,9.9954,,MM,40219,41519
Ceftriaxone,43,ASM_solventC_3300,Analyte,,4.26,388.418,16142.892,272.951,0.024,73.7593,,MM,40219,41519
Ceftriaxone,44,ASM_solventC_10000,Analyte,,4.26,913.126,15318.807,73.497,0.06,122.6844,,MM,40219,41519
Ceftriaxone,45,WaterBlank7,Blank,,3.48,99.675,13.427,5.06,7.423,1495.1409,,bb,40219,41519
Ceftriaxone,46,AcnBlank8,Blank,,,,1.517,,,,,,40219,41519
Ceftriaxone,47,WaterBlank9,Blank,,,,,,,,,,40219,41519
Ceftriaxone,48,Minus80aliquot,Blank,,,,3.777,,,,,MM-I,40219,41519
Ceftriaxone,49,WaterBlank7,Blank,,,,0.506,,,,,,40219,41519
Ceftriaxone,50,AcnBlank8,Blank,,,,0.131,,,,,,40219,41519
Ceftriaxone,51,WaterBlank9,Blank,,,,2.071,,,,,,40219,41519
Ceftriaxone,52,Postspike_14,Analyte,,3.69,10.633,10879.06,16.052,0.001,8.5811,,bb,40219,41519
Ceftriaxone,53,Postspike_41,Analyte,,,,12035.646,,,,,,40219,41519
Ceftriaxone,54,Postspike_123,Analyte,,,,12775.054,,,,,,40219,41519
Ceftriaxone,55,Postspike_370,Analyte,,3.55,1.015,12510.815,1.63,0,0.8742,,bb,40219,41519
Ceftriaxone,56,Postspike_1100,Analyte,,4.28,6.597,10953.366,22.239,0.001,5.7434,,MM,40219,41519
Ceftriaxone,57,WaterBlank7,Blank,,3.48,0.245,13.828,1.42,0.018,61.737,,bb,40219,41519
Ceftriaxone,58,AcnBlank8,Blank,,,,13.437,,,,,,40219,41519
Ceftriaxone,59,WaterBlank9,Blank,,3.46,2.681,,6.361,,,,bb,40219,41519
Ceftriaxone,60,DTTblank,Analyte,,3.69,0.815,0.045,1.288,18.111,2342.6483,,bb,40219,41519
Ceftriaxone,61,Blankspike_14,Analyte,,3.71,0.516,49667.84,0.991,0,0.0752,,bb,40219,41519
Ceftriaxone,62,Blankspike_41,Analyte,,3.42,0.373,49183.457,0.911,0,0.0425,,bb,40219,41519
Ceftriaxone,63,Blankspike_123,Analyte,,3.52,0.053,48380.871,0.222,0,0,,bbI,40219,41519
Ceftriaxone,64,Blankspike_370,Analyte,,3.44,0.703,50603.992,1.305,0,0.1159,,bb,40219,41519
Ceftriaxone,65,Blankspike_1100,Analyte,,,,51110.586,,,,,,40219,41519
Ceftriaxone,66,WaterBlank7,Blank,,3.69,1.109,154.087,3.307,0.007,35.6491,,bb,40219,41519
Ceftriaxone,67,AcnBlank8,Blank,,3.65,0.071,,0.654,,,,bb,40219,41519
Ceftriaxone,68,WaterBlank9,Blank,,3.47,1.168,29.289,2.975,0.04,98.2174,,bb,40219,41519
Ciprofloxacin,1,WaterBlank1,Blank,,2.87,51.128,0.212,39.667,241.17,0,,bbI,40219,41519
Ciprofloxacin,2,AcnBlank2,Blank,,2.99,64.414,,7.888,,,,bb,40219,41519
Ciprofloxacin,3,WaterBlank3,Blank,,3.18,44.82,,5.903,,,,bb,40219,41519
Ciprofloxacin,4,Water_ABS_0,Standard,0,3.04,82.98,83044.359,51.038,0.001,0.0028,,bb,40219,41519
Ciprofloxacin,5,Water_ABS_140,Standard,0.014,2.91,485.902,87081.844,90.385,0.006,0.0146,104.6,bb,40219,41519
