Sample Text,Number,Area,Compound
Sample_12295,176,276671,Linezolidd3
Sample_5547,177,260547,Linezolidd3
Sample_9085,178,218039,Linezolidd3
Sample_13309,179,243629,Linezolidd3
Sample_4154,180,138130,Linezolidd3
Sample_6492,181,136775,Linezolidd3
Sample_1036,182,259305,Linezolidd3
Sample_12270,10,909760,Levofloxacind8
Sample_15139,11,698623,Levofloxacind8
Sample_5307,12,904890,Levofloxacind8
Sample_6517,13,693977,Levofloxacind8
Sample_5573,14,857216,Levofloxacind8
Sample_1163,15,259335,Levofloxacind8
Sample_5331,16,1030356,Levofloxacind8
Sample_9039,17,750642,Levofloxacind8
Sample_5548,18,862085,Levofloxacind8
Sample_5552,19,968372,Levofloxacind8
Sample_13359,20,631647,Levofloxacind8
Sample_13285,21,584584,Levofloxacind8
Sample_1033,22,352915,Levofloxacind8
Sample_1142,23,444181,Levofloxacind8
Sample_9080,24,792735,Levofloxacind8
Sample_1162,25,488613,Levofloxacind8
Sample_4157,26,897199,Levofloxacind8
Sample_1035,27,363039,Levofloxacind8
Sample_5306,28,919475,Levofloxacind8
Sample_8329,29,340867,Levofloxacind8
Sample_9283,30,1001581,Levofloxacind8
Sample_6512,31,445534,Levofloxacind8
Sample_9248,32,921469,Levofloxacind8
Sample_6510,33,659557,Levofloxacind8
Sample_9082,34,711884,Levofloxacind8
Sample_1056,35,633139,Levofloxacind8
Sample_13358,36,538210,Levofloxacind8
Sample_13333,37,684274,Levofloxacind8
Sample_4137,38,860826,Levofloxacind8
Sample_5110,39,893993,Levofloxacind8
Sample_11159,40,734986,Levofloxacind8
Sample_8308,41,632363,Levofloxacind8
Sample_8306,42,656050,Levofloxacind8
Sample_10138,43,647068,Levofloxacind8
Sample_1058,44,457036,Levofloxacind8
Sample_5571,45,969458,Levofloxacind8
Sample_5112,46,1001470,Levofloxacind8
Sample_15155,47,624782,Levofloxacind8
Sample_5334,48,704711,Levofloxacind8
Sample_5135,49,1029515,Levofloxacind8
Sample_13334,50,543541,Levofloxacind8
Sample_9246,51,822571,Levofloxacind8
Sample_4136,52,791897,Levofloxacind8
Sample_11157,53,692109,Levofloxacind8
Sample_15138,54,530818,Levofloxacind8
Sample_11160,55,647176,Levofloxacind8
Sample_5137,56,956058,Levofloxacind8
Sample_1363,57,455531,Levofloxacind8
Sample_6489,58,609383,Levofloxacind8
Sample_9251,59,911597,Levofloxacind8
Sample_9042,60,1018417,Levofloxacind8
Sample_1055,61,326309,Levofloxacind8
Sample_1059,62,374731,Levofloxacind8
Sample_6495,63,578125,Levofloxacind8
Sample_12293,64,886066,Levofloxacind8
Sample_12296,65,808941,Levofloxacind8
Sample_13284,66,726140,Levofloxacind8
Sample_1360,67,416506,Levofloxacind8
Sample_9083,68,717231,Levofloxacind8
